Längengrad;Breitengrad;Name;Nummer;Tag;Uhrzeit;Temp_Wasser;Temp_Luft;Sichttiefe [m];Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sättigung  %;pH Wert;Ammoniak NH₃ [mg/l];   % Ammoniak;Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4
53.810812;10.763251;Grönau;1;21.03.25;00:00:00;9;13;0,2;739;7,7;66,70;7,8;0,003;0,000;0,269;0,209;0,058;0,018;10,60;2,39;0,34
53.810812;10.763251;Grönau;1;24.04.25;14:55:00;14,7;15;0,2;752;13,3;131,6;8,0;0,003;0,000;0,134;0,104;0,077;0,023;4,68;1,06;0,29
53.810812;10.763251;Grönau;1;24.06.25;13:05:00;15;18;0,2;664;6,62;60,2;7,7;0,002;0,000;0,165;0,128;0,086;0,026;3,19;0,72;2,55
53.810812;10.763251;Grönau;1;29.07.25;09:00:00;;18;0,6;728;6,23;62,2;7,8;0,001;0,000;0,186;0,144;0,148;0,045;3,70;0,84;0,77
53.810812;10.763251;Grönau;1;18.08.25;14:00:00;16,5;20;0,5;772;7,6;76,6;8,1;0,006;0,000;0,169;0,131;0,103;0,031;3,15;0,71;0,54
53.810812;10.763251;Grönau;1;12.09.25;08:30:00;13,3;10;0,4;629;6,6;63,6;7,7;0,000;0,000;;0,000;0,055;0,017;2,98;0,67;0,29
53.810812;10.763251;Grönau;1;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.810812;10.763251;Grönau;1;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.810812;10.763251;Grönau;1;;;;;;;;;;;;;;;;;;
53.786750;10.769028;Schattiner Bach;2;21.03.25;12:30:00;6,4;10;0,5;654;8,9;71,3;7,8;0,000;0,000;0,046;0,036;0,000;0,000;20,40;4,61;0,16
53.786750;10.769028;Schattiner Bach;2;24.04.25;14:25:00;13,7;15;0,35;819;9,1;88,5;7,8;0,002;0,000;0,110;0,085;0,102;0,031;12,20;2,76;0,19
53.786750;10.769028;Schattiner Bach;2;24.06.25;12:30:00;17,4;18;0,6;491;4,08;49,1;;0,000;0,000;0,098;0,076;0,083;0,025;2,38;0,54;0,30
53.786750;10.769028;Schattiner Bach;2;29.07.25;14:15:00;19,3;18;0,5;400;2,6;30,4;7,8;0,002;0,000;0,079;0,061;0,000;0,000;0,00;0,00;0,08
53.786750;10.769028;Schattiner Bach;2;18.08.25;13:30:00;21,2;22;0,4;332;7;74,1;9,9;0,078;0,000;0,107;0,083;0,000;0,000;0,00;0,00;0,20
53.786750;10.769028;Schattiner Bach;2;12.09.25;13:10:00;16;19;0,5;388;2,36;25;7,7;0,000;0,000;;0,000;0,104;0,032;4,90;1,11;0,19
53.786750;10.769028;Schattiner Bach;2;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.786750;10.769028;Schattiner Bach;2;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.780371;10.766564;Rothenhusen;3;21.03.25;12:05:00;7,6;10;0,5;348;10,12;84,2;8,4;0,002;0,000;0,045;0,035;0,000;0,000;0,00;0,00;0,00
53.780371;10.766564;Rothenhusen;3;24.04.25;13:54:00;0,9;15;0,9;346;12,65;115,2;8,5;0,001;0,000;0,027;0,021;0,000;0,000;0,00;0,00;0,00
53.780371;10.766564;Rothenhusen;3;24.06.25;12:15:00;19,5;18;1,1;318;7,5;82,5;8,0;0,002;0,000;0,046;0,036;;0,000;1,04;0,23;1,43
53.780371;10.766564;Rothenhusen;3;29.07.25;12:20:00;21,8;18;0,9;306;10,1;113,8;9,4;0,022;0,000;0,044;0,034;0,000;0,000;0,00;0,00;0,08
53.780371;10.766564;Rothenhusen;3;18.08.25;13:00:00;22,1;22;0,8;315;11,1;126,9;8,7;0,007;0,000;0,038;0,030;0,000;0,000;0,00;0,00;0,10
53.780371;10.766564;Rothenhusen;3;12.09.25;12:50:00;18,3;19;1,1;327;7,7;78,5;7,9;0,000;0,000;;0,000;0,000;0,000;0,00;0,00;0,13
53.780371;10.766564;Rothenhusen;3;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.780371;10.766564;Rothenhusen;3;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.862880;10.704016;Dücker;4;21.03.25;15:05:00;8,2;13;1,4;431;12,2;103;8,7;0,002;0,000;0,032;0,025;0,000;0,000;1,36;0,31;0,00
53.862880;10.704016;Dücker;4;24.04.26;14:30:00;15,3;15;0,8;443;15;142,8;8,6;0,003;0,000;0,036;0,028;0,000;0,000;0,00;0,00;0,00
53.862880;10.704016;Dücker;4;24.06.25;14:35:00;21,2;20;1;382;9,01;102,7;8,4;0,013;0,000;0,144;0,112;0,000;0,000;1,45;0,33;0,29
53.862880;10.704016;Dücker;4;29.07.25;16:10:00;21,9;18;1,6;363;8,05;91,2;10,6;0,000;0,000;0,000;0,000;0,000;0,000;0,00;0,00;0,03
53.862880;10.704016;Dücker;4;19.08.25;15:26:00;23,5;22;0,7;364;11,88;140,4;10,5;0,021;0,000;0,024;0,019;0,000;0,000;0,00;0,00;0,24
53.862880;10.704016;Dücker;4;12.09.25;15:15:00;19,8;19;0,8;357;11,18;122,2;8,9;0,000;0,000;;0,000;0,000;0,000;0,00;0,00;0,24
53.862880;10.704016;Dücker;4;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.862880;10.704016;Dücker;4;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.840841;10.729988;Kleiner See;5;21.03.25;14:25:00;8,5;13;0,7;416;12,1;102;8,8;0,0024;0,000;0,027;0,021;0,000;0,000;1,29;0,29;0,00
53.840841;10.729988;Kleiner See;5;24.04.25;15:55:00;15,3;15;0,8;430;9,82;99,2;8,1;0,005;0,000;0,142;0,110;0,000;0,000;1,05;0,24;0,00
53.840841;10.729988;Kleiner See;5;24.06.25;14:00:00;20,6;19;0,6;343;8,22;91,3;8,1;0,007;0,000;0,143;0,111;0,000;0,000;1,01;0,23;0,30
53.840841;10.729988;Kleiner See;5;29.07.25;15:30:00;22,3;18;0,6;378;8,98;100,9;10,5;0,018;0,000;0,020;0,016;0,000;0,000;0,00;0,00;0,00
53.840841;10.729988;Kleiner See;5;18.08.25;14:45:00;23,1;22;0,8;389;8,45;97;8,8;0,006;0,000;0,026;0,020;0,000;0,000;0,00;0,00;0,26
53.840841;10.729988;Kleiner See;5;12.09.25;14:35:00;19,4;19;0,7;402;10,11;101,5;9,0;0,000;0,000;;0,000;0,000;0,000;0,00;0,00;0,07
53.840841;10.729988;Kleiner See;5;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.840841;10.729988;Kleiner See;5;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.838882;10.724915;Im Nienmarker Landgraben;6;21.03.25;08:15:00;4,9;5;0,4;638;6,61;49,7;7,6;0,001;0,000;0,134;0,104;0,000;;7,34;1,66;0,31
53.838882;10.724915;Im Nienmarker Landgraben;6;24.04.25;09:10:00;11,3;10;0,6;632;7,63;69,4;7,7;0,001;0,000;0,135;0,105;0,069;0,021;5,53;1,25;0,31
53.838882;10.724915;Im Nienmarker Landgraben;6;24.06.25;09:00:00;15,3;15;0,6;506;7,2;82,2;7,6;0,001;0,000;0,136;0,106;0,111;0,034;4,55;1,03;0,57
53.838882;10.724915;Im Nienmarker Landgraben;6;29.07.25;08:30:00;16,4;18;0,6;584;4,17;42,4;7,7;0,000;0,000;0,100;0,078;0,110;0,033;4,52;1,02;0,51
53.838882;10.724915;Im Nienmarker Landgraben;6;18.08.25;14:30:00;15,8;20;0,5;634;5,89;58,6;8,5;0,006;0,000;0,074;0,057;0,050;0,015;5,90;1,33;0,58
53.838882;10.724915;Im Nienmarker Landgraben;6;12.09.25;07:55:00;;;0,5;500;4,79;46,1;7,5;0,000;0,000;;0,000;0,000;0,000;3,62;0,82;0,24
53.838882;10.724915;Im Nienmarker Landgraben;6;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.838882;10.724915;Im Nienmarker Landgraben;6;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;21.03.25;13:35:00;6,7;13;1,8;461;9,2;75;8,0;0,001;0,000;0,090;0,070;0,000;0,000;3,23;0,73;0,00
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;24.04.25;15:30:00;14,1;15;1,8;377;11,58;111,7;8,4;0,004;0,000;0,062;0,048;0,000;0,000;1,01;0,23;0,00
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;24.06.25;13:30:00;20,1;18;1,6;384;7,1;78,9;7,7;0,002;0,000;0,084;0,065;0,000;0,000;1,48;0,33;0,86
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;29.07.25;15:10:00;20,7;18;2;367;6,75;74;8,0;0,000;0,000;;0,000;;0,000;;0,00;
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;18.08.25;14:20:00;21,3;22;2,1;388;5,23;57,7;8,5;0,011;0,000;0,096;0,075;0,041;0,012;1,23;0,28;0,15
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;12.09.25;14:00:00;17,9;19;1,8;377;3,98;41,2;8,0;0,000;0,000;;0,000;0,000;0,000;1,12;0,25;0,02
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.824206;10.760265;100m hinter Lüdersdorfer Graben;7;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.824673;10.757867;Lüdersdorfer Landgraben;8;21.03.25;13:25:00;8,3;13;0,8;651;10,7;90;7,9;0,002;0,000;0,131;0,102;0,070;0,021;15,30;3,46;0,194
53.824673;10.757867;Lüdersdorfer Landgraben;8;24.04.25;15:20:00;14,9;15;0,8;687;13,21;131,7;8,0;0,004;0,000;0,179;0,139;0,094;0,029;10,50;2,37;0,21
53.824673;10.757867;Lüdersdorfer Landgraben;8;24.06.25;13:20:00;15,5;19;0,8;687;5,55;54,7;7,7;0,001;0,000;0,084;0,065;0,136;0,041;6,27;1,42;0,69
53.824673;10.757867;Lüdersdorfer Landgraben;8;29.07.25;15:00:00;17,3;18;0,7;797;4,35;45,4;8,0;0,016;0,000;0,55;0,427;0,086;0,026;6,95;1,57;0,57
53.824673;10.757867;Lüdersdorfer Landgraben;8;18.08.25;14:10:00;15,8;22;0,6;905;5,22;52,6;10,3;0,041;0,000;0,051;0,040;0,000;0,000;7,02;1,59;0,31
53.824673;10.757867;Lüdersdorfer Landgraben;8;12.09.25;13:50:00;14,3;19;0,7;655;5,31;51;8,7;0,000;0,000;;0,000;0,000;0,000;6,74;1,52;0,33
53.824673;10.757867;Lüdersdorfer Landgraben;8;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
53.824673;10.757867;Lüdersdorfer Landgraben;8;;;;;;;;;;0,000;0,000;;0,000;;0,000;;0,00;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
